Date,Item,Quantity,Invoice Price,Current Price,Product Name,Stockcode,Status
2026-04-30,Golden crumpets round 6 pack,1,2.4,2.4,Golden Crumpets Round 6 pack,49622,found
2026-04-30,Mission carb balance original wraps pdm 6 pack,2,6.5,5,Mission Carb Balance Original Wraps 6 pack,919345,found
2026-04-30,Deep cove sardines in springwater pdm 125g,2,1.0,1,Deep Cove Sardines In Springwater 125g,83235,found
2026-04-30,John west tuna chunks in springwater pdm 95g,1,1.45,2,John West Tuna Chunks In Springwater 95g,340411,found
2026-04-30,Eclipse peppermint sugar free mints tin 40g,2,3.5,3.5,Eclipse Peppermint Sugar Free Mints Tin 40g,815854,found
2026-04-30,Eclipse spearmint sugar free mints tin 40g,2,3.5,3.5,Eclipse Spearmint Sugar Free Mints Tin 40g,815853,found
2026-04-30,Eclipse strawberry sugar free mints tin 40g,1,3.5,3.5,Eclipse Strawberry Sugar Free Mints Tin 40g,815855,found
2026-04-30,Chobani greek yoghurt natural light plain 907g,1,7.9,7.9,Chobani Greek Yoghurt Natural Light Plain 907g,717518,found
2026-04-30,Harvey fresh lactose free hilo milk pdm 2l,2,6.2,6.2,Harvey Fresh Lactose Free HiLo Milk 2L,240744,found
2026-04-30,Pauls plus protein dairy snack vanilla 160g,2,2.45,3.1,Pauls Plus Protein Dairy Snack Vanilla 160g,6004840,found
2026-04-30,Woolworths light thickened cream 300ml,1,3.4,3.4,Woolworths Light Thickened Cream 300mL,838737,found
2026-04-30,Nestle carnation light & creamy evaporated milk 340ml,1,3.0,3,Nestle Carnation Light & Creamy Evaporated Milk 340mL,151917,found
2026-04-30,Coca-cola zero sugar soft drink multipack cans 375ml x 10 pack,1,10.5,10.5,Coca-Cola Zero Sugar Soft Drink Multipack Cans 375mL x 10 pack,669379,found
2026-04-30,Fropro protein pot cheeseburger pasta pdm 350g,2,11.95,,,,no_results
2026-04-30,Fropro protein pot korean beef & noodles 350g,2,11.95,,,,no_results
2026-04-30,Woolworths potato minis 1kg,1,5.0,5,Woolworths Potato Minis 1kg,695650,found
2026-04-30,Red capsicum pdm each,1,3.23,3.48,Red Capsicum each,135306,found
2026-04-30,Woolworths baby leaf spinach 120g,1,2.7,2.7,Woolworths Baby Leaf Spinach 120g,524322,found
2026-04-30,Woolworths chili lime salad kit pdm 350g,1,5.0,5.5,Woolworths Chili Lime Salad Kit 350g,6036189,found
2026-04-30,Woolworths honey mustard salad kit pdm 285g,1,5.0,5.5,Woolworths Honey Mustard Salad Kit 285g,210686,found
2026-04-30,Woolworths iceberg shredded lettuce pdm 200g,1,2.0,2,Woolworths Iceberg Shredded Lettuce 200g,638009,found
2026-04-30,Woolworths mushroom sliced pdm 500g,1,7.0,7,Woolworths Mushroom Sliced 500g,89466,found
2026-04-30,Select smooth peanut butter 500g,1,3.0,3.4,Woolworths Smooth Peanut Butter 500g,233922,found
2026-04-30,Vetta smart protein spirals pasta pdm 375g,1,3.0,3,Vetta SMART Protein Spirals Pasta 375g,117547,found
2026-04-30,Mt barker free range roasted carved chicken breast 220g,2,7.0,8.9,Mt Barker Free Range Roasted Carved Chicken Breast 220g,906432,found
2026-04-30,Mt barker lemon & herb greek style sliced chicken 220g,2,7.0,8.9,Mt Barker Lemon & Herb Greek Style Sliced Chicken 220g,6030285,found
2026-04-30,Strength meals co beef tortellini bolognese 350g,2,8.95,9.95,Strength Meals Co Beef Tortellini Bolognese 350g,353746,found
2026-04-30,Strength meals co classic chicken dinner with gravy 350g,2,8.95,9.95,Strength Meals Co Classic Chicken Dinner With Gravy 350g,349220,found
2026-04-30,Dine adult wet cat food saucy morsels with salmon trays 85g x 7 pack,1,5.0,8,Dine Adult Wet Cat Food Saucy Morsels with Salmon Trays 85g x 7 pack,349075,found
2026-04-30,Dine adult wet cat food saucy morsels with tuna & cheese 85g x 7 pack,1,5.0,8,Dine Adult Wet Cat Food Saucy Morsels with Tuna & Cheese 85g x 7 pack,477637,found
2026-04-30,Masterfoods mild american mustard pdm 250g,1,3.5,4.2,MasterFoods Mild American Mustard 250g,36557,found
2026-04-30,Nando's perinaise mild peri-peri mayonnaise sauce 465g,1,7.5,7.5,Nando's Perinaise Mild Peri-Peri Mayonnaise Sauce 465g,880522,found
2026-04-30,Dairyworks cheddar slices value 32 pack,1,8.0,8,Dairyworks Cheddar Slices Value 32 pack,178118,found
2026-04-30,Woolworths tasty cheese shredded 250g,1,5.0,5,Woolworths Tasty Cheese Shredded 250g,729025,found
2026-04-30,Snickers frozen dessert bars pdm 5 pack,1,6.0,9.5,Snickers Gold Frozen Dessert Bar 5 pack,6041784,found
2026-04-30,onion shallot french pdm each,1,0.6,0.6,Onion Shallot French each,189459,found
2026-04-30,Finish ultimate dishwashing tablets lemon 70 pack,1,32.0,64,Finish Ultimate Dishwashing Tablets Lemon 70 pack,6019017,found
2026-04-30,Woolworths arborio risotto rice pdm 1kg,1,4.0,,,,no_results
2026-04-30,Woolworths pasta macaroni 500g,1,1.0,1,Woolworths Pasta Macaroni 500g,346837,found
2026-04-30,Moccona freeze dried instant coffee classic dark roast 200g,1,23.6,23.6,Moccona Freeze Dried Instant Coffee Classic Dark Roast 200g,248520,found
2026-04-30,Bow wow pig ears dog treats 5 pack,1,11.0,16.8,Bow Wow Pig Ears Dog Treats 5 pack,323774,found
2026-04-30,Ingham's tempura style nuggets pdm 1kg,1,11.0,,,,no_results
2026-04-30,Fropro protein pot bang bang chicken & rice 350g,2,8.35,,,,no_results
2026-04-30,Fropro protein pot bbq chicken mac & cheese 350g,2,8.35,,,,no_results
2026-04-30,Jalna pot set fat free yoghurt 1kg,1,7.0,8.8,Jalna Pot Set 99% Fat Free Yoghurt 1kg,43053,found
2026-04-30,Mondeli australian made leg ham pdm 100g,1,6.0,7.5,MonDeli Australian Made Leg Ham 100g,6008635,found
2026-04-30,Mondeli premium australian prosciutto pdm 80g,1,6.0,7.5,MonDeli Premium Australian Prosciutto 80g,6007124,found
2026-04-30,Woolworths asian salad bowl pdm 230g,1,6.0,5.5,Woolworths Asian Salad Bowl 230g,164644,found
2026-04-30,Carnarvon bananas pdm 750g,1,6.0,,,,no_results
2026-04-30,Mission low gi wraps wholemeal 6 pack,1,5.5,5.6,Mission Low Gi Wraps Wholemeal 6 pack,575874,found
2026-04-30,Woolworths lower carb potatoes pdm 1.5kg,1,5.5,,,,no_results
2026-04-30,Woolworths carrots peas & corn 1kg,1,5.0,5,Woolworths Carrots Peas & Corn 1kg,768569,found
2026-04-30,Red rock deli potato chips party bag honey soy & chicken 290g,1,4.25,8.5,Red Rock Deli Potato Chips Honey Soy & Chicken 290g,54682,found
2026-04-30,Campbell's real stock chicken pdm 1l,1,4.0,4.5,Campbell's Real Stock Chicken 1L,77750,found
2026-04-30,Essentials french fries pdm 1kg,1,3.8,,,,no_results
2026-04-30,Pauls plus protein chocolate yoghurt pdm 160g,1,3.1,3.1,Pauls Plus Protein Chocolate Yoghurt 160g,502078,found
2026-04-30,Yopro perform high protein yoghurt mango passionfruit 175g,1,3.0,3.9,YoPRO Perform High Protein Yoghurt Mango Passionfruit 175g,167433,found
2026-04-30,Yopro perform high protein yoghurt mixed berry 175g,1,3.0,3.9,YoPRO Perform High Protein Yoghurt Mixed Berry 175g,167289,found
2026-04-30,Yopro perform high protein yoghurt strawberry 175g,1,3.0,3.9,YoPRO Perform High Protein Yoghurt Strawberry 175g,205064,found
2026-04-30,Woolworths gourmet leaf mix pdm 120g,1,2.7,2.7,Woolworths Gourmet Leaf Mix 120g,6036212,found
2026-04-30,Woolworths spreadable light cream cheese pdm 250g,1,2.6,2.6,Woolworths Spreadable Light Cream Cheese 250g,155151,found
2026-04-30,Woolworths broccolini bunch pdm each,1,2.5,3.5,Woolworths Broccolini Bunch each,187314,found
2026-04-30,Doritos corn chips cheese supreme share pack 170g,1,2.5,3.5,Doritos Corn Chips Cheese Supreme Share Pack 170g,826731,found
2026-04-30,Thins chips salt & vinegar 175g,1,2.5,5,Thins Chips Salt & Vinegar 175g,319951,found
2026-04-30,Pandaroo coconut milk 400ml,1,2.25,2.25,Pandaroo Coconut Milk 400mL,189725,found
2026-04-30,Frisp edamame beans pdm 200g,1,2.0,2,Frisp Edamame Beans 200g,6026555,found
2026-04-30,Essentials tomato paste pdm 500g,1,1.4,1.4,Essentials Tomato Paste 500g,34004,found
2026-04-30,Kettle sea salt & vinegar chips chips 165g,1,3.9,6,Kettle Sea Salt & Vinegar Potato Chips 165g,236807,found
2026-04-30,Vege chips barbeque pdm 100g,1,1.5,4.9,Vege Chips Barbeque 100g,96154,found
2026-04-30,Thomas dux camembert cheese 125g,1,2.7,2.7,Thomas Dux Camembert Cheese 125g,311843,found
2026-04-30,Liddells lactose free low fat long life milk uht 1l,1,2.5,2.7,Liddells Lactose Free Low Fat Long Life Milk UHT 1L,893477,found
2026-04-30,Nature's gift dog treats mini treats beef liver 130g,1,3.5,2.45,Nature's Gift Mini Dog Treats Beef Liver 130g,271264,found
2026-04-30,Woolworths natural greek style yoghurt 1kg,1,3.8,3.8,Woolworths Natural Greek Style Yoghurt 1kg,571487,found
2026-04-30,Essentials white vinegar 2l,1,1.85,1.85,Essentials White Vinegar 2L,94706,found
2026-04-30,La gina italian tomato paste passata 680g,1,1.95,1.95,La Gina Italian Tomato Paste Passata 680g,63005,found
2026-04-30,Macro organic coconut milk pdm 400ml,1,2.1,,,,no_results
2026-04-30,Woolworths microwave jasmine rice 250g,1,1.8,1.8,Woolworths Microwave Jasmine Rice 250g,360346,found
2026-04-30,Dilmah extra strength tea bags 50 pack,1,3.85,4.8,Dilmah Extra Strength Tea Bags 50 pack,6070224,found
2026-04-30,Tassal smoked salmon pdm 150g,1,11.0,15,Tassal Smoked Salmon 150g,847049,found
